seed,task_ms,duplicate_ratio,tasks,rep,arm,wall_seconds,executed,hits,misses,key_mismatches
1337,0.0500,0.2500,64,0,A,0.003346906,64,0,0,0
1337,0.0500,0.2500,64,0,B,0.003120731,48,0,0,0
1337,0.0500,0.2500,64,0,C,0.001094716,0,48,0,0
1337,0.0500,0.2500,64,1,A,0.003381260,64,0,0,0
1337,0.0500,0.2500,64,1,B,0.003067740,48,0,0,0
1337,0.0500,0.2500,64,1,C,0.001093093,0,48,0,0
1337,0.0500,0.2500,64,2,A,0.003394955,64,0,0,0
1337,0.0500,0.2500,64,2,B,0.002815948,48,0,0,0
1337,0.0500,0.2500,64,2,C,0.001101057,0,48,0,0
1337,0.0500,0.2500,64,3,A,0.003310927,64,0,0,0
1337,0.0500,0.2500,64,3,B,0.003127302,48,0,0,0
1337,0.0500,0.2500,64,3,C,0.001100316,0,48,0,0
1337,0.0500,0.2500,64,4,A,0.003364017,64,0,0,0
1337,0.0500,0.2500,64,4,B,0.003046491,48,0,0,0
1337,0.0500,0.2500,64,4,C,0.001083945,0,48,0,0
1337,0.0500,0.2500,64,5,A,0.003227751,64,0,0,0
1337,0.0500,0.2500,64,5,B,0.002993912,48,0,0,0
1337,0.0500,0.2500,64,5,C,0.001078926,0,48,0,0
1337,0.0500,0.2500,64,6,A,0.003342457,64,0,0,0
1337,0.0500,0.2500,64,6,B,0.002986398,48,0,0,0
1337,0.0500,0.2500,64,6,C,0.001095066,0,48,0,0
1337,0.0500,0.2500,64,7,A,0.003371361,64,0,0,0
1337,0.0500,0.2500,64,7,B,0.003007789,48,0,0,0
1337,0.0500,0.2500,64,7,C,0.001106368,0,48,0,0
1337,0.0500,0.2500,64,8,A,0.004347724,64,0,0,0
1337,0.0500,0.2500,64,8,B,0.003026393,48,0,0,0
1337,0.0500,0.2500,64,8,C,0.001083204,0,48,0,0
1337,0.0500,0.5000,64,0,A,0.003329632,64,0,0,0
1337,0.0500,0.5000,64,0,B,0.002762127,32,0,0,0
1337,0.0500,0.5000,64,0,C,0.001087532,0,32,0,0
1337,0.0500,0.5000,64,1,A,0.003360601,64,0,0,0
1337,0.0500,0.5000,64,1,B,0.002769802,32,0,0,0
1337,0.0500,0.5000,64,1,C,0.001086030,0,32,0,0
1337,0.0500,0.5000,64,2,A,0.003337808,64,0,0,0
1337,0.0500,0.5000,64,2,B,0.002535101,32,0,0,0
1337,0.0500,0.5000,64,2,C,0.001096760,0,32,0,0
1337,0.0500,0.5000,64,3,A,0.003372954,64,0,0,0
1337,0.0500,0.5000,64,3,B,0.002777837,32,0,0,0
1337,0.0500,0.5000,64,3,C,0.001085629,0,32,0,0
1337,0.0500,0.5000,64,4,A,0.003404473,64,0,0,0
1337,0.0500,0.5000,64,4,B,0.002821599,32,0,0,0
1337,0.0500,0.5000,64,4,C,0.001095667,0,32,0,0
1337,0.0500,0.5000,64,5,A,0.003420263,64,0,0,0
1337,0.0500,0.5000,64,5,B,0.002814055,32,0,0,0
1337,0.0500,0.5000,64,5,C,0.001078676,0,32,0,0
1337,0.0500,0.5000,64,6,A,0.003406026,64,0,0,0
1337,0.0500,0.5000,64,6,B,0.002762688,32,0,0,0
1337,0.0500,0.5000,64,6,C,0.001089586,0,32,0,0
1337,0.0500,0.5000,64,7,A,0.003400426,64,0,0,0
1337,0.0500,0.5000,64,7,B,0.002749573,32,0,0,0
1337,0.0500,0.5000,64,7,C,0.001091991,0,32,0,0
1337,0.0500,0.5000,64,8,A,0.003381470,64,0,0,0
1337,0.0500,0.5000,64,8,B,0.002521775,32,0,0,0
1337,0.0500,0.5000,64,8,C,0.001075429,0,32,0,0
1337,0.0500,0.7500,64,0,A,0.004340481,64,0,0,0
1337,0.0500,0.7500,64,0,B,0.002471491,16,0,0,0
1337,0.0500,0.7500,64,0,C,0.001087392,0,16,0,0
1337,0.0500,0.7500,64,1,A,0.003384837,64,0,0,0
1337,0.0500,0.7500,64,1,B,0.002523369,16,0,0,0
