rep,workload,config,policy,baseline_seconds,ordered_seconds,ratio
0,SKEW-LAST,sgee_w2,LPT(λ=0),0.138868,0.098829,0.711676
1,SKEW-LAST,sgee_w2,LPT(λ=0),0.150254,0.099543,0.662498
2,SKEW-LAST,sgee_w2,LPT(λ=0),0.143079,0.107272,0.749741
3,SKEW-LAST,sgee_w2,LPT(λ=0),0.137740,0.115079,0.835476
4,SKEW-LAST,sgee_w2,LPT(λ=0),0.141691,0.105191,0.742391
5,SKEW-LAST,sgee_w2,LPT(λ=0),0.131648,0.106615,0.809848
6,SKEW-LAST,sgee_w2,LPT(λ=0),0.133613,0.093992,0.703468
7,SKEW-LAST,sgee_w2,LPT(λ=0),0.136127,0.101104,0.742718
8,SKEW-LAST,sgee_w2,LPT(λ=0),0.134480,0.098563,0.732919
9,SKEW-LAST,sgee_w2,LPT(λ=0),0.131955,0.102026,0.773193
10,SKEW-LAST,sgee_w2,LPT(λ=0),0.159187,0.104126,0.654114
11,SKEW-LAST,sgee_w2,LPT(λ=0),0.148752,0.106145,0.713571
12,SKEW-LAST,sgee_w2,LPT(λ=0),0.136841,0.099455,0.726790
13,SKEW-LAST,sgee_w2,LPT(λ=0),0.137057,0.106313,0.775679
14,SKEW-LAST,sgee_w2,LPT(λ=0),0.130603,0.101996,0.780967
15,SKEW-LAST,sgee_w2,LPT(λ=0),0.137048,0.101934,0.743785
16,SKEW-LAST,sgee_w2,LPT(λ=0),0.134038,0.098038,0.731415
17,SKEW-LAST,sgee_w2,LPT(λ=0),0.138270,0.100961,0.730173
18,SKEW-LAST,sgee_w2,LPT(λ=0),0.137505,0.110348,0.802500
19,SKEW-LAST,sgee_w2,LPT(λ=0),0.134938,0.097348,0.721426
20,SKEW-LAST,sgee_w2,LPT(λ=0),0.131426,0.096854,0.736944
21,SKEW-LAST,sgee_w2,LPT(λ=0),0.139457,0.096596,0.692658
22,SKEW-LAST,sgee_w2,LPT(λ=0),0.133647,0.104418,0.781298
23,SKEW-LAST,sgee_w2,LPT(λ=0),0.135005,0.099804,0.739260
24,SKEW-LAST,sgee_w2,LPT(λ=0),0.139366,0.099800,0.716095
25,SKEW-LAST,sgee_w2,LPT(λ=0),0.139549,0.103906,0.744584
26,SKEW-LAST,sgee_w2,LPT(λ=0),0.138061,0.118736,0.860026
27,SKEW-LAST,sgee_w2,LPT(λ=0),0.136388,0.093012,0.681961
28,SKEW-LAST,sgee_w2,LPT(λ=0),0.136659,0.107566,0.787107
29,SKEW-LAST,sgee_w2,LPT(λ=0),0.132216,0.099002,0.748788
0,SKEW-LAST,sgee_w4,LPT(λ=0),0.109409,0.101077,0.923851
1,SKEW-LAST,sgee_w4,LPT(λ=0),0.122373,0.105060,0.858517
2,SKEW-LAST,sgee_w4,LPT(λ=0),0.115669,0.093557,0.808832
3,SKEW-LAST,sgee_w4,LPT(λ=0),0.119906,0.107665,0.897916
4,SKEW-LAST,sgee_w4,LPT(λ=0),0.115682,0.101085,0.873816
5,SKEW-LAST,sgee_w4,LPT(λ=0),0.122569,0.094846,0.773820
6,SKEW-LAST,sgee_w4,LPT(λ=0),0.122248,0.094831,0.775723
7,SKEW-LAST,sgee_w4,LPT(λ=0),0.114725,0.099946,0.871183
8,SKEW-LAST,sgee_w4,LPT(λ=0),0.112696,0.096532,0.856568
9,SKEW-LAST,sgee_w4,LPT(λ=0),0.116811,0.096871,0.829297
10,SKEW-LAST,sgee_w4,LPT(λ=0),0.123367,0.096742,0.784183
11,SKEW-LAST,sgee_w4,LPT(λ=0),0.114875,0.101071,0.879837
12,SKEW-LAST,sgee_w4,LPT(λ=0),0.116983,0.095527,0.816586
13,SKEW-LAST,sgee_w4,LPT(λ=0),0.117704,0.100839,0.856719
14,SKEW-LAST,sgee_w4,LPT(λ=0),0.123180,0.095353,0.774093
15,SKEW-LAST,sgee_w4,LPT(λ=0),0.125623,0.095739,0.762114
16,SKEW-LAST,sgee_w4,LPT(λ=0),0.112906,0.096662,0.856125
17,SKEW-LAST,sgee_w4,LPT(λ=0),0.123141,0.097890,0.794938
18,SKEW-LAST,sgee_w4,LPT(λ=0),0.133676,0.094633,0.707931
19,SKEW-LAST,sgee_w4,LPT(λ=0),0.119258,0.104505,0.876293
20,SKEW-LAST,sgee_w4,LPT(λ=0),0.115887,0.114742,0.990120
21,SKEW-LAST,sgee_w4,LPT(λ=0),0.126369,0.103321,0.817610
22,SKEW-LAST,sgee_w4,LPT(λ=0),0.112658,0.106450,0.944895
23,SKEW-LAST,sgee_w4,LPT(λ=0),0.113575,0.116818,1.028553
24,SKEW-LAST,sgee_w4,LPT(λ=0),0.125185,0.105096,0.839524
25,SKEW-LAST,sgee_w4,LPT(λ=0),0.115984,0.102253,0.881613
26,SKEW-LAST,sgee_w4,LPT(λ=0),0.113877,0.085149,0.747732
27,SKEW-LAST,sgee_w4,LPT(λ=0),0.112823,0.101688,0.901304
28,SKEW-LAST,sgee_w4,LPT(λ=0),0.115009,0.100839,0.876790
29,SKEW-LAST,sgee_w4,LPT(λ=0),0.111401,0.095845,0.860366
0,SKEW-LAST,sgee_w8,LPT(λ=0),0.108715,0.095083,0.874611
1,SKEW-LAST,sgee_w8,LPT(λ=0),0.121229,0.094046,0.775770
2,SKEW-LAST,sgee_w8,LPT(λ=0),0.110704,0.097918,0.884508
3,SKEW-LAST,sgee_w8,LPT(λ=0),0.105257,0.098289,0.933798
4,SKEW-LAST,sgee_w8,LPT(λ=0),0.119467,0.103435,0.865798
5,SKEW-LAST,sgee_w8,LPT(λ=0),0.104012,0.097170,0.934220
6,SKEW-LAST,sgee_w8,LPT(λ=0),0.103473,0.093964,0.908106
7,SKEW-LAST,sgee_w8,LPT(λ=0),0.120170,0.100195,0.833780
8,SKEW-LAST,sgee_w8,LPT(λ=0),0.114274,0.091538,0.801042
9,SKEW-LAST,sgee_w8,LPT(λ=0),0.101500,0.095852,0.944357
10,SKEW-LAST,sgee_w8,LPT(λ=0),0.116956,0.104691,0.895132
11,SKEW-LAST,sgee_w8,LPT(λ=0),0.104601,0.103290,0.987471
12,SKEW-LAST,sgee_w8,LPT(λ=0),0.104207,0.092815,0.890680
13,SKEW-LAST,sgee_w8,LPT(λ=0),0.112952,0.093780,0.830264
14,SKEW-LAST,sgee_w8,LPT(λ=0),0.103551,0.092576,0.894020
15,SKEW-LAST,sgee_w8,LPT(λ=0),0.101188,0.087493,0.864654
16,SKEW-LAST,sgee_w8,LPT(λ=0),0.103309,0.094907,0.918664
17,SKEW-LAST,sgee_w8,LPT(λ=0),0.101183,0.102749,1.015477
18,SKEW-LAST,sgee_w8,LPT(λ=0),0.102806,0.097076,0.944267
19,SKEW-LAST,sgee_w8,LPT(λ=0),0.111933,0.096014,0.857785
20,SKEW-LAST,sgee_w8,LPT(λ=0),0.103648,0.102480,0.988729
21,SKEW-LAST,sgee_w8,LPT(λ=0),0.114181,0.091831,0.804258
22,SKEW-LAST,sgee_w8,LPT(λ=0),0.115068,0.107792,0.936767
23,SKEW-LAST,sgee_w8,LPT(λ=0),0.104464,0.091834,0.879096
24,SKEW-LAST,sgee_w8,LPT(λ=0),0.104554,0.096997,0.927729
25,SKEW-LAST,sgee_w8,LPT(λ=0),0.112308,0.085596,0.762154
26,SKEW-LAST,sgee_w8,LPT(λ=0),0.114751,0.096646,0.842221
27,SKEW-LAST,sgee_w8,LPT(λ=0),0.103087,0.096789,0.938910
28,SKEW-LAST,sgee_w8,LPT(λ=0),0.103933,0.095977,0.923448
29,SKEW-LAST,sgee_w8,LPT(λ=0),0.116085,0.095999,0.826970
0,SKEW-PERM-1,sgee_w4,LPT(λ=0),0.104385,0.090215,0.864257
1,SKEW-PERM-1,sgee_w4,LPT(λ=0),0.108586,0.088857,0.818309
2,SKEW-PERM-1,sgee_w4,LPT(λ=0),0.100222,0.093304,0.930973
3,SKEW-PERM-1,sgee_w4,LPT(λ=0),0.099373,0.096071,0.966768
4,SKEW-PERM-1,sgee_w4,LPT(λ=0),0.108319,0.105953,0.978153
5,SKEW-PERM-1,sgee_w4,LPT(λ=0),0.098083,0.102723,1.047313
6,SKEW-PERM-1,sgee_w4,LPT(λ=0),0.104779,0.095281,0.909353
